Name,Display Name,Type,Sprite
Alien,Alien,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_alien.resource_alien'
Aquarium,Aquarium,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_aquarium.resource_aquarium'
Aruldite,Aruldite,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_aruldite.resource_aruldite'
Bethlium,Bethlium,Open Pit,PaperSprite'/Game/UI/Sprites/Resources/resource_bethlium.resource_bethlium'
Bone,Bone,Surface,PaperSprite'/Game/UI/Sprites/Resources/resource_bone.resource_bone'
Herbirite,Herbirite,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_herbirite.resource_herbirite'
Maamite,Maamite,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_maamite.resource_maamite'
Moonlite,Moonlite,Open Pit,PaperSprite'/Game/UI/Sprites/Resources/resource_moonlite.resource_moonlite'
Moron,Moron,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_moron.resource_moron'
Onion,Onion,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_onion.resource_onion'
Paladium,Paladium,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_paladium.resource_paladium'
Parasite,Parasite,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_parasite.resource_parasite'
Planetarium,Planetarium,Open Pit,PaperSprite'/Game/UI/Sprites/Resources/resource_planetarium.resource_planetarium'
Rock,Rock,Surface,PaperSprite'/Game/UI/Sprites/Resources/resource_rock.resource_rock'
Slate,Slate,Surface,PaperSprite'/Game/UI/Sprites/Resources/resource_slate.resource_slate'
Solarium,Solarium,Open Pit,PaperSprite'/Game/UI/Sprites/Resources/resource_solarium.resource_solarium'
Tedium,Tedium,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_tedium.resource_tedium'
Valium,Valium,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_valium.resource_valium'
Wood,Wood,Surface,PaperSprite'/Game/UI/Sprites/Resources/resource_wood.resource_wood'
Yeridium,Yeridium,Deep Mine,PaperSprite'/Game/UI/Sprites/Resources/resource_yeridium.resource_yeridium'
