Name,Display Name,Tech Level,Epoch,Biome,Players
Aloha,Aloha,1,9500 BC,Mud,2
Bazooka,Bazooka,1,9500 BC,Grass,2
Cilla,Cilla,1,9500 BC,Snow,3
Dracula,Dracula,2,3000 BC,Snow,3
Etcetra,Etcetra,2,3000 BC,Dessert,3
Formica,Formica,2,3000 BC,Volcanic,3
Gazza,Gazza,3,100 BC,Volcanic,3
Hernia,Hernia,3,100 BC,Forest,3
Ibiza,Ibiza,3,100 BC,Grass,2
Junta,Junta,4,900 AD,Snow,4
Karma,Karma,4,900 AD,Grass,4
Lada,Lada,4,900 AD,Dessert,3
Mascara,Mascara,5,1400 AD,Forest,4
Nausea,Nausea,5,1400 AD,Snow,4
Ocarina,Ocarina,5,1400 AD,Dessert,2
Pyjama,Pyjama,6,1850 AD,Volcanic,4
Quota,Quota,6,1850 AD,Dust,4
Rumbaba,Rumbaba,6,1850 AD,Snow,3
Sinatra,Sinatra,7,1915 AD,Forest,4
Tapioca,Tapioca,7,1915 AD,Dessert,3
Utopia,Utopia,7,1915 AD,Dust,3
Vespa,Vespa,8,1945 AD,Dust,4
Wonca,Wonca,8,1945 AD,Mud,4
Xtra,Xtra,8,1945 AD,Volcanic,4
Yoga,Yoga,9,1980 AD,Grass,4
Zappa,Zappa,9,1980 AD,Dust,4
Ohm,Ohm,9,1980 AD,Mud,3
Megalomania,Mega-lo-Mania: Mother of all Battles,10,2001 AD,Forest,4
