Name,Technology,Perfect,Resources,Alien,Aquarium,Aruldite,Bethlium,Bone,Herbirite,Maamite,Moonlite,Moron,Onion,Paladium,Parasite,Planetarium,Rock,Slate,Solarium,Tedium,Valium,Wood,Yeridium
1,Rock,TRUE,"((""Rock"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0
2,Rock,TRUE,"((""Wood"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
3,Rock,TRUE,"((""Bone"", 1.5))",0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Rock,FALSE,"((""Slate"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
5,Rock,FALSE,"((""Herbirite"", 1.5))",0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rock,FALSE,"((""Aquarium"", 1.5))",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Rock,FALSE,"((""Valium"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0
8,Rock,FALSE,"((""Bethlium"", 1.5))",0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Rock,FALSE,"((""Parasite"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
10,Rock,FALSE,"((""Moonlite"", 1.5))",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
11,Rock,FALSE,"((""Solarium"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
12,Rock,FALSE,"((""Aruldite"", 1.5))",0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sling,FALSE,"((""Wood"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Sling,FALSE,"((""Bone"", 1))",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sling,FALSE,"((""Rock"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,Sling,FALSE,"((""Bethlium"", 1))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Sling,FALSE,"((""Solarium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Sling,FALSE,"((""Aruldite"", 1))",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sling,FALSE,"((""Moonlite"", 0.5),(""Wood"", 0.5))",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0
20,Sling,TRUE,"((""Solarium"", 0.5),(""Wood"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
21,Sling,TRUE,"((""Bethlium"", 0.5),(""Wood"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
22,Sling,FALSE,"((""Bethlium"", 0.5),(""Slate"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
23,Sling,FALSE,"((""Moonlite"", 0.5),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
24,Sling,FALSE,"((""Parasite"", 0.5),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
25,Sling,FALSE,"((""Bethlium"", 0.5),(""Parasite"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
26,Sling,FALSE,"((""Bethlium"", 0.5),(""Herbirite"", 0.5))",0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
